bus_stop_id	service_names	service_count
308	19, 20, 23, 38, 40	5
309	19, 20, 23, 38, 40	5
310	19, 20, 23, 38, 40	5
311	11, 22	2
312	11, 22	2
318	14, 38	2
319	21, 35, 37, 39, 61	5
320	21, 35, 37, 39, 61	5
321	28, 36	2
322	28, 36	2
323	28	1
324	28, 36	2
325	14, 28, 36, 38	4
326	14, 38	2
327	14, 38	2
330	14, 38	2
331	14, 38	2
332	12, 20, 59	3
333	12, 20, 59	3
334	14, 26, 27	3
335	14, 26, 27	3
336	14, 26, 27	3
337	14, 26, 27	3
338	14, 26, 27	3
339	14, 26, 27	3
340	12, 14, 29	3
341	12, 14, 29	3
342	14, 26, 27, 3, 7	5
343	14, 18, 26, 27, 3, 7	6
344	14, 26, 27, 3, 7	5
345	14, 18, 26, 27, 3, 7	6
346	12, 14, 29	3
347	12, 14, 29	3
348	12, 14, 29	3
349	12, 14, 29	3
350	12, 14, 29	3
351	12, 14, 29	3
354	12, 14, 29	3
355	12, 14, 29	3
356	10, 18, 24, 3, 32, 7	6
357	10, 18, 24, 3, 32, 7	6
358	24, 25, 59	3
359	18, 24, 25, 59, 9	5
360	10, 18, 24, 3, 32, 7	6
361	10, 18, 24, 3, 32, 7	6
363	18	1
364	3, 7	2
365	18, 3, 7	3
366	10, 3, 32, 7	4
367	1, 10, 3, 32, 7	5
368	18	1
369	18	1
370	24, 26	2
371	24, 26	2
372	25, 26, 59	3
373	18, 25, 26, 59, 9	5
374	20, 25, 27, 3, 33, 7	6
375	20, 7, 9	3
376	26	1
377	26	1
378	25	1
379	25, 9	2
380	25, 26, 59	3
381	18, 25, 26, 59, 9	5
382	26, 59	2
383	26, 59	2
384	25	1
385	25, 9	2
387	20, 7	2
388	20, 25, 27, 3, 33, 7, 9	7
389	24, 26	2
390	24, 26	2
391	24, 25, 59	3
392	18, 24, 25, 59, 9	5
395	10, 33, 5	3
396	10, 33, 5, 9	4
397	32, 33, 5, 9	4
398	32, 33, 5, 9	4
399	10	1
400	10	1
403	32, 33, 5, 9	4
404	32, 33, 5, 9	4
405	10	1
406	10	1
407	10, 33, 5	3
408	10, 33, 5, 9	4
409	10, 33, 5	3
410	10, 33, 5, 9	4
411	58	1
412	57	1
413	24, 26	2
414	24, 26	2
415	34	1
416	34, 4	2
418	31	1
421	24, 26	2
422	24, 26	2
423	31, 4, 5	3
424	24, 26	2
425	24, 26	2
426	31, 4	2
427	31, 4	2
430	31, 34, 4, 8	4
431	31, 34, 4, 8	4
432	31, 4	2
433	31, 4	2
435	31, 34, 4, 8	4
436	31, 34, 4, 8	4
439	24, 26	2
440	24, 26	2
441	24, 26	2
442	24, 26	2
443	33, 8	2
444	33, 8, 9	3
445	24, 26	2
446	24, 26, 5	3
447	24, 26, 5	3
448	24, 26, 5	3
449	24, 26, 5	3
450	24, 26, 5	3
451	33, 5, 8	3
452	33, 5, 8, 9	4
453	20, 7	2
454	20, 25, 27, 3, 33, 7, 9	7
455	34, 8	2
456	34, 8	2
457	34, 8	2
458	34, 8	2
459	10	1
460	10	1
461	34, 8	2
462	34, 8	2
463	34, 8	2
464	34, 8	2
465	34, 8	2
466	34, 8	2
467	33, 5	2
468	33, 5, 9	3
469	33, 5	2
470	33, 5, 9	3
471	31, 34, 4, 8	4
472	31, 34, 4, 8	4
473	33, 5	2
474	33, 5, 9	3
475	33, 5	2
476	33, 5, 9	3
477	31, 34, 4, 8	4
478	31, 34, 4, 8	4
479	31, 4	2
480	31, 4	2
481	10, 31, 2004	3
482	10, 31, 2004	3
483	31, 4	2
484	31, 4	2
485	10, 31, 2004	3
486	10, 31, 2004	3
487	10, 31, 2004	3
488	10, 31, 2004	3
489	31, 4	2
490	31, 4	2
491	10	1
492	10	1
493	31, 4	2
494	31, 4	2
495	31, 4	2
496	31, 4	2
497	10, 31, 2004	3
498	10, 31, 2004	3
499	34, 8	2
500	34, 8	2
501	10	1
502	10	1
503	10, 31, 2004	3
504	10, 31, 2004	3
505	10, 31, 2004	3
506	10, 31, 2004	3
507	31, 32, 33, 34	4
508	31, 32, 33, 34	4
515	34, 8	2
516	34, 8	2
519	34, 8	2
520	34, 8	2
521	34, 8	2
522	34, 8	2
523	32, 33, 5, 9	4
524	32, 33, 5, 9	4
525	32, 33, 34, 5, 8, 9	6
526	32, 33, 34, 5, 8, 9	6
527	34, 8	2
528	34, 8	2
529	32, 33, 34, 5, 9	5
530	32, 33, 34, 5, 9	5
535	60, 8, 9	3
536	60, 8, 9	3
537	60, 8, 9	3
538	60, 8, 9	3
539	42, 8	2
540	60, 8	2
541	31, 32, 33, 34	4
542	10	1
543	10, 31, 2004	3
544	10, 31, 4, 42	4
545	32, 33, 34, 42	4
546	32, 33, 34, 42	4
547	10, 5	2
548	10, 5	2
549	10, 33	2
550	10, 33, 42	3
551	32, 33, 34, 42, 5	5
552	32, 33, 34, 42, 5	5
553	32, 33, 34, 5, 8, 9	6
554	5	1
555	4	1
557	4, 5	2
558	60, 8, 9	3
559	60, 8, 9	3
561	25, 59	2
562	25, 59	2
563	25, 59	2
564	25, 59	2
565	25, 59	2
566	25, 59	2
569	25, 59	2
570	25, 59, 9	3
571	10, 24, 32	3
572	10, 18, 24, 32	4
573	25, 59	2
574	25, 59	2
577	42	1
578	42	1
579	42	1
580	42	1
582	25, 59	2
583	25, 59	2
584	25, 59	2
585	25, 59	2
586	42	1
587	42	1
589	35, 36	2
590	35, 36	2
591	25, 59	2
592	25, 59	2
593	1, 14, 26, 27, 60	5
594	14, 26, 27, 60	4
595	1, 14, 26, 27, 60	5
596	14, 26, 27, 60	4
597	1, 24, 3, 7	4
598	24, 3, 7	3
599	1, 14, 26, 27, 60	5
600	14, 26, 27, 60	4
601	24, 3, 7	3
602	1, 24, 3, 7	4
605	1, 14, 26, 27, 60	5
606	14, 26, 27, 60	4
609	1, 24, 3, 7	4
610	24, 3, 7	3
611	1, 14, 26, 27, 60	5
612	14, 26, 27, 60	4
613	42, 6, 60	3
614	1, 42, 6, 60	4
615	24, 3, 7	3
616	1, 24, 3, 7	4
626	25, 42, 59	3
627	25, 42, 59	3
628	1, 24, 25, 3, 6, 60, 7	7
629	1, 24, 25, 3, 6, 60, 7	7
630	25, 42, 59	3
631	25, 42, 59	3
632	42, 6, 60	3
633	1, 42, 6, 60	4
634	1, 24, 3, 7	4
635	24, 3, 7	3
636	25, 42, 59	3
637	25, 42, 59	3
638	4, 60, 8, 9	4
639	4, 60, 8, 9	4
640	2, 60	2
641	2	1
642	4, 60, 8, 9	4
643	4, 60, 8, 9	4
644	60, 7	2
645	60, 7	2
646	60, 7	2
647	60, 7	2
648	3, 6, 60, 7	4
649	2, 60	2
650	2, 60	2
651	4, 8	2
652	4, 8	2
653	2, 7	2
654	2, 7	2
657	2, 60	2
658	2, 60	2
659	2, 60	2
660	2, 60	2
661	2, 60	2
662	2, 60	2
663	4	1
664	3, 8	2
666	3, 4, 2008	3
667	2, 7	2
668	2, 7	2
673	1, 24, 25, 3, 6, 60, 7	7
674	1, 24, 25, 3, 6, 60, 7	7
675	24, 25	2
676	24, 25	2
677	3, 6, 60, 7	4
678	3, 6, 60, 7	4
679	1, 2, 46	3
680	1, 2, 46	3
681	3, 6, 60, 7	4
682	3, 6, 60, 7	4
687	3, 6	2
688	3, 6	2
691	3, 6	2
692	3, 6	2
693	2	1
694	2	1
695	3, 6, 60, 7	4
696	3, 6, 60, 7	4
701	3, 6, 60, 7	4
702	3, 6, 60, 7	4
703	2, 7	2
704	2, 7	2
705	2, 7	2
706	2, 7	2
707	2, 7	2
710	2	1
711	2	1
712	3, 6	2
713	3, 6	2
714	3, 6	2
715	3, 6	2
716	6, 7	2
717	6, 7	2
718	6, 7	2
719	2, 6, 2007	3
720	3, 6	2
721	3, 6	2
724	2, 3, 2006	3
729	3	1
730	3	1
731	3	1
732	3	1
733	6, 7	2
734	6, 7	2
735	6, 7	2
736	6, 7	2
739	6, 7	2
740	6, 7	2
741	7	1
742	7	1
743	6, 7	2
744	6, 7	2
745	1, 46	2
746	1, 46	2
747	7	1
748	7	1
757	1, 46	2
758	1, 46	2
761	1, 46	2
762	1, 46	2
763	7	1
764	7	1
765	6	1
766	6	1
771	3, 4	2
772	3, 4	2
773	3, 4	2
774	3, 4	2
779	3, 4	2
780	3, 4	2
781	3, 4, 2005	3
782	3, 4, 2005	3
787	5	1
788	5	1
789	3, 4, 2005	3
790	3, 4, 2005	3
791	2, 3, 4, 5	4
792	2, 3, 4, 5	4
795	15, 2	2
796	15, 2	2
797	15, 2	2
798	15, 2	2
799	15, 2	2
800	15, 2	2
801	15, 2	2
802	15, 2	2
805	15, 2	2
806	15, 2	2
807	15, 2	2
808	15, 2	2
809	17, 18, 2, 32, 36, 42	6
810	17, 18, 2, 32, 36, 42	6
812	17, 18, 2, 32, 36, 42	6
813	17, 18, 2, 32, 36, 42	6
814	18, 32, 36, 42	4
815	18, 32, 36, 42	4
818	18, 2, 32, 36, 42	5
819	16, 17, 18, 2, 32, 36, 42	7
820	16, 17, 19	3
821	19	1
822	16, 17	2
823	19	1
824	16, 17, 19	3
825	16, 17, 19	3
826	16, 17, 19	3
827	16, 17, 19	3
828	16, 17, 19	3
829	17, 19	2
830	17, 19	2
831	16, 17	2
833	16, 17	2
834	16, 17, 19	3
835	16, 17, 19	3
838	17, 19	2
839	17, 19	2
842	16, 18, 19, 32, 36, 42	6
843	16, 18, 19, 32, 36, 42	6
844	15	1
846	15	1
847	15	1
848	32	1
849	16, 18, 19, 2, 32, 36, 42	7
850	16, 18, 19, 2, 32, 36, 42	7
851	15	1
852	15	1
853	15	1
854	15	1
855	15	1
856	15	1
857	16, 18, 19, 32, 36, 42	6
858	16, 18, 19, 32, 36, 42	6
859	15	1
860	15	1
861	16, 18, 19, 32, 36, 42	6
862	16, 18, 19, 32, 36, 42	6
863	16, 18, 19, 32, 36, 42	6
864	16, 18, 19, 32, 36, 42	6
865	16, 18, 19, 32, 36, 42	6
866	16, 18, 19, 32, 36, 42	6
867	15, 2	2
870	15	1
871	15	1
872	15	1
873	15	1
874	15	1
875	15	1
878	12	1
879	12, 15	2
880	12, 2, 25, 26, 29, 30	6
881	12, 2, 25, 26, 29, 30	6
882	16, 18, 19, 32, 36, 42	6
883	16, 18, 19, 32, 36, 42	6
884	10, 2, 28	3
885	10, 15, 16, 18, 19, 28, 32, 36, 42	9
886	10, 15, 16, 18, 19, 28, 32, 36, 42	9
887	10, 15, 16, 18, 19, 28, 32, 36, 42	9
888	10, 15, 16, 18, 19, 28, 32, 36, 42	9
889	10, 15, 16, 18, 19, 28, 32, 36, 42	9
890	10, 15, 16, 18, 19, 28, 32, 36, 42	9
891	15, 2	2
892	15, 2	2
893	10, 2, 28	3
894	10, 2, 28	3
895	10, 28	2
896	2, 27	2
897	10, 2, 27, 28	4
898	10, 2, 27, 28	4
899	10, 2, 27, 28	4
900	10, 2, 27, 28	4
901	10, 2, 27, 28	4
902	10, 2, 27, 28	4
903	10, 2, 27, 28	4
904	10, 2, 27, 28	4
905	10, 2, 27, 28	4
914	10, 2, 27, 28	4
915	10, 2, 27, 28	4
916	10, 2, 27, 28	4
917	10, 2, 27, 28	4
918	10, 2, 27, 28	4
919	10, 2, 27, 28	4
925	25, 26, 29, 30	4
926	25, 29, 30	3
927	12, 2, 27	3
928	12, 2, 25, 26, 29, 30	6
929	12, 2, 25, 26, 29, 30	6
930	10, 2, 27, 28	4
931	10, 2, 27, 28	4
935	12, 2, 27	3
936	12, 2, 27	3
945	24	1
946	24	1
951	24	1
952	24	1
963	24	1
964	24	1
967	24	1
968	24	1
969	24	1
970	24	1
973	24	1
974	24	1
975	24	1
976	24	1
977	12, 14, 26, 29, 30	5
978	12, 14, 26, 29, 30	5
979	27	1
980	27	1
981	27	1
982	27	1
983	27	1
984	27	1
990	12, 14, 26, 29, 30	5
991	12, 14, 26, 29, 30	5
992	12, 14, 26, 29, 30	5
993	12, 14, 26, 29, 30	5
996	12, 14, 26, 29, 30	5
997	12, 14, 26, 29, 30	5
1000	12, 14, 26, 29, 30	5
1001	12, 14, 26, 29, 30	5
1002	12, 26, 29, 30	4
1003	12, 26, 29, 30	4
1004	12, 2, 24, 25, 26, 29, 30	7
1005	12, 2, 24, 25, 26, 29, 30	7
1006	2, 24, 25	3
1007	2, 24, 25	3
1008	12, 2, 24, 25, 29, 30	6
1009	12	1
1010	2, 24, 25	3
1011	1, 46	2
1012	1, 46	2
1013	1, 46	2
1014	1, 46	2
1015	1, 46	2
1016	1, 46	2
1017	12	1
1018	12	1
1019	12	1
1020	12	1
1021	10, 2, 27, 28	4
1022	10, 2, 27, 28	4
1023	12	1
1024	12	1
1025	10, 28	2
1026	10, 28	2
1027	10, 28	2
1028	10, 28	2
1029	10, 25, 26, 28, 29, 30	6
1030	10, 25, 26, 28, 29, 30	6
